100 250
1 2 10182.990078
1 3 5987.292390
1 4 13021.261877
1 5 5476.934003
1 6 21059.697597
1 7 16573.322726
1 8 20405.882129
1 9 19846.940003
1 10 11727.630089
1 11 7738.124483
1 12 17189.481188
1 13 24671.305585
1 14 19248.346896
1 15 20739.521168
1 16 17652.119136
1 17 14883.410466
1 18 18821.853002
1 19 12418.055096
1 20 21628.316350
1 21 1700.692353
1 22 24213.648505
1 23 2468.907799
1 24 13674.427161
1 25 10074.247724
1 26 2676.003885
1 27 18104.154262
1 28 15342.058699
1 29 19574.204813
1 30 14165.514561
1 31 20282.978968
1 32 14419.396506
1 33 23600.729846
1 34 21786.303724
1 35 12690.055199
1 36 19720.579125
1 37 11825.766022
1 38 20720.042462
1 39 8062.039702
1 40 24403.663381
1 41 6955.276007
1 42 1820.770120
1 43 18780.590147
1 44 20779.715513
1 45 23058.452333
1 46 8175.607334
1 47 20101.731564
1 48 13456.258333
1 49 11582.371977
1 50 20518.756271
1 51 23797.662655
1 52 1906.822236
1 53 17716.776605
1 54 5873.161096
1 55 9972.388943
1 56 6703.110673
1 57 20812.832915
1 58 24884.345259
1 59 16243.774569
1 60 17598.820776
1 61 23307.579949
1 62 17191.313702
1 63 14208.847967
1 64 9521.188232
1 65 15864.487120
1 66 9080.715527
1 67 10190.486124
1 68 9217.493089
1 69 11709.969010
1 70 12585.346082
1 71 22763.394560
1 72 5160.775552
1 73 8465.091882
1 74 14353.140550
1 75 12173.310986
1 76 6555.474642
1 77 14489.836574
1 78 21958.192474
1 79 1523.755560
1 80 11021.911723
1 81 2106.450033
1 82 14080.940386
1 83 13482.764507
1 84 19201.447507
1 85 5827.256805
1 86 14684.043562
1 87 11474.346671
1 88 21524.538045
1 89 16520.902361
1 90 8846.979153
1 91 8679.657447
1 92 6342.952558
1 93 23813.203634
1 94 7455.024746
1 95 3960.151944
1 96 9032.426418
1 97 18540.727322
1 98 17647.500251
1 99 17522.304322
1 100 155.644685
2 3 16115.462153
2 4 4929.852507
2 5 10708.709253
2 6 12921.500387
2 7 19415.199839
2 8 10301.293572
2 9 29604.961225
2 10 20694.423436
2 11 17907.866341
2 12 22076.016649
2 13 14938.637403
2 14 14864.235224
2 15 11739.436557
2 16 26308.631971
2 17 13628.769485
2 18 26997.162230
2 19 22484.540159
2 20 21333.736790
2 21 11859.943088
2 22 27375.286045
2 23 12015.855082
2 24 21480.457384
2 25 17846.548623
2 26 10380.009477
2 27 9963.603832
2 28 11472.582516
2 29 16283.323270
2 30 24323.484739
2 31 25515.766640
2 32 24051.806966
2 33 19881.632924
2 34 31065.296155
2 35 18876.993482
2 36 17113.923480
2 37 6511.333492
2 38 14217.000652
2 39 15153.526038
2 40 21193.498676
2 41 11734.110233
2 42 8462.397475
2 43 28958.071087
2 44 22615.064567
2 45 26455.834534
2 46 17719.274767
2 47 20849.730711
2 48 15377.673555
2 49 13852.364759
2 50 24805.196659
2 51 15666.037838
2 52 10865.459955
2 53 27663.716081
2 54 15539.680501
2 55 17612.492865
2 56 6107.947362
2 57 27402.514152
2 58 34076.580487
2 59 11969.427786
2 60 9403.774369
2 61 32499.541175
2 62 13138.465537
2 63 11008.571866
2 64 5554.769839
2 65 18582.522733
2 66 13254.489040
2 67 14483.934545
2 68 13758.874758
2 69 6274.243241
2 70 20668.317548
2 71 13065.715581
2 72 15204.952056
2 73 18312.184848
2 74 4572.673727
2 75 18985.287845
2 76 10143.900868
2 77 22805.859794
2 78 12815.831796
2 79 9121.716800
2 80 9814.573333
2 81 12145.357417
2 82 8870.133797
2 83 12110.650204
2 84 15783.449965
2 85 12598.237956
2 86 20896.605917
2 87 21337.899871
2 88 30281.134145
2 89 15191.988327
2 90 18989.661780
2 91 15622.294177
2 92 13043.127950
2 93 32131.848057
2 94 15529.024322
2 95 6531.207927
2 96 6912.361464
2 97 18751.398377
2 98 22513.551126
2 99 22143.624485
2 100 10252.015888
3 4 18453.308172
3 5 9371.894706
3 6 26074.434541
3 7 16662.952914
3 8 26377.402238
3 9 14976.157815
3 10 7084.237468
3 11 2430.102740
3 12 15697.616930
3 13 30274.424371
3 14 22873.977889
3 15 26091.595559
3 16 12811.522998
3 17 19105.962185
3 18 16131.239581
3 19 7188.524305
3 20 22992.242849
3 21 4286.720369
3 22 23213.338477
3 23 5053.887754
3 24 12077.840468
3 25 9420.806535
3 26 6275.310319
3 27 23917.699703
3 28 20365.493221
3 29 24094.113108
3 30 8526.083467
3 31 20184.160558
3 32 10067.760969
3 33 28046.892369
3 34 16269.622463
3 35 10939.892615
3 36 23984.333546
3 37 16704.039664
3 38 26134.981431
3 39 8986.199603
3 40 27081.596170
3 41 10325.773113
3 42 7653.074714
3 43 12866.952856
3 44 20962.000483
3 45 21993.680806
3 46 3336.932259
3 47 21025.087372
3 48 14763.941535
3 49 13173.231783
3 50 19069.853860
3 51 29521.685117
3 52 6082.128189
3 53 12565.112538
3 54 4063.158772
3 55 9512.623876
3 56 12376.135695
3 57 19532.641026
3 58 19383.505027
3 59 21305.883505
3 60 22776.812756
3 61 19129.471261
3 62 20882.016674
3 63 17953.384042
3 64 15219.735240
3 65 18044.276595
3 66 11950.080810
3 67 10847.969672
3 68 10084.394501
3 69 16642.052917
3 70 10869.520689
3 71 28741.678763
3 72 2643.327772
3 73 2896.981188
3 74 20339.940917
3 75 9944.181275
3 76 10806.148621
3 77 12133.418547
3 78 27339.029431
3 79 7313.438879
3 80 14616.553525
3 81 3970.919565
3 82 19531.063997
3 83 17936.346464
3 84 22402.428800
3 85 6777.965000
3 86 12490.556212
3 87 6923.795798
3 88 17964.788039
3 89 19053.227474
3 90 2874.517069
3 91 9482.229029
3 92 8574.822602
3 93 19002.356375
3 94 5587.373675
3 95 9923.088258
3 96 14467.237567
3 97 21716.206796
3 98 16107.222381
3 99 18206.285216
3 100 5897.802729
4 5 15005.504191
4 6 8317.557203
4 7 17139.818190
4 8 10253.043490
4 9 32868.134869
4 10 21590.016900
4 11 20577.223663
4 12 20532.178733
4 13 11852.202010
4 14 10207.124003
4 15 7718.460266
4 16 26691.019658
4 17 18500.347322
4 18 31120.967279
4 19 25370.018415
4 20 17619.415265
4 21 14512.171809
4 22 24727.011090
4 23 15272.675886
4 24 25660.233333
4 25 21964.636199
4 26 12206.642840
4 27 13003.362397
4 28 16089.827640
4 29 20798.975107
4 30 26957.868814
4 31 30266.561292
4 32 27419.535390
4 33 24177.718006
4 34 31820.363750
4 35 18277.144599
4 36 21732.395515
4 37 3094.198522
4 38 17807.092057
4 39 19362.147759
4 40 16601.974500
4 41 16210.255173
4 42 11203.053503
4 43 31210.974651
4 44 19653.891072
4 45 23952.098136
4 46 19269.471394
4 47 17561.450530
4 48 13182.166290
4 49 12106.761547
4 50 22793.035794
4 51 18143.771242
4 52 14230.833452
4 53 30713.171314
4 54 18831.352011
4 55 21761.762786
4 56 10755.811905
4 57 31951.331444
4 58 34680.856869
4 59 16472.924777
4 60 4748.833186
4 61 36194.694527
4 62 8686.216177
4 63 7198.092953
4 64 10483.579438
4 65 23483.519849
4 66 17911.346641
4 67 13588.044269
4 68 13136.440505
4 69 2933.502617
4 70 24749.291583
4 71 13899.449664
4 72 18173.783975
4 73 20123.218471
4 74 6987.814721
4 75 18703.589806
4 76 14682.476050
4 77 26837.706794
4 78 8939.207041
4 79 12400.342883
4 80 7440.470390
4 81 14620.525610
4 82 13382.876841
4 83 17003.700392
4 84 11346.653760
4 85 13316.333548
4 86 20120.110039
4 87 24495.445407
4 88 34194.790852
4 89 11567.330799
4 90 21258.644254
4 91 19884.361121
4 92 17233.128390
4 93 32068.780820
4 94 16342.261063
4 95 10203.315436
4 96 11829.833753
4 97 23648.127457
4 98 20927.316229
4 99 26934.381677
4 100 13037.840848
5 6 23319.750044
5 7 21986.934022
5 8 19725.093104
5 9 19595.224373
5 10 16229.902829
5 11 9889.533085
5 12 22651.998860
5 13 25584.621235
5 14 23148.730524
5 15 22398.215027
5 16 22102.471591
5 17 9802.834645
5 18 16289.802491
5 19 13406.518484
5 20 26688.370549
5 21 6269.863015
5 22 29684.882174
5 23 4463.619742
5 24 10771.762852
5 25 7157.367680
5 26 8106.123304
5 27 15572.456198
5 28 11069.146811
5 29 14738.707472
5 30 15587.278071
5 31 15720.499948
5 32 14051.351661
5 33 18715.747629
5 34 25600.424335
5 35 18097.249702
5 36 14693.983764
5 37 14886.460850
5 38 17034.912735
5 39 4447.216933
5 40 28813.900995
5 41 1539.474383
5 42 5993.697329
5 43 20640.341283
5 44 26144.083395
5 45 28532.909430
5 46 12441.813629
5 47 25315.291206
5 48 18697.816828
5 49 16809.347438
5 50 25990.873421
5 51 20821.671908
5 52 3851.765939
5 53 18018.586969
5 54 6480.528207
5 55 6913.155533
5 56 4779.288256
5 57 16996.783400
5 58 28709.959780
5 59 12017.160694
5 60 19749.276333
5 61 21984.942522
5 62 21123.579218
5 63 18253.152696
5 64 7099.460422
5 65 10469.235000
5 66 3693.266967
5 67 15621.580268
5 68 14646.077777
5 69 14707.108464
5 70 9980.766360
5 71 21219.247241
5 72 7086.249576
5 73 12262.427605
5 74 13622.229651
5 75 17500.471442
5 76 1453.185034
5 77 12129.851928
5 78 23505.930088
5 79 4367.563363
5 80 15397.421571
5 81 6860.355604
5 82 10603.281808
5 83 8572.772941
5 84 23417.381475
5 85 11304.118644
5 86 20053.856915
5 87 11831.750754
5 88 19633.256201
5 89 21219.438769
5 90 11707.784832
5 91 4917.281757
5 92 2364.568026
5 93 28309.956291
5 94 12682.401161
5 95 5045.863662
5 96 5848.950500
5 97 13092.035138
5 98 23108.696542
5 99 12647.777318
5 100 5626.625072
6 7 19814.957488
6 8 11655.529693
6 9 40826.852583
6 10 27961.156602
6 11 28340.075480
6 12 24010.431053
6 13 6749.464971
6 14 7961.066878
6 15 2645.303018
6 16 32299.885156
6 17 25822.891307
6 18 39420.135253
6 19 33179.030752
6 20 17072.788294
6 21 22425.881882
6 22 25890.941502
6 23 23408.244240
6 24 33971.276805
6 25 30272.394986
6 26 19821.941692
6 27 17757.348581
6 28 22849.313222
6 29 27151.319766
6 30 34586.480020
6 31 38437.152412
6 32 35468.165233
6 33 29955.121375
6 34 37670.324685
6 35 23265.543418
6 36 28278.269923
6 37 9371.386823
6 38 22731.540130
6 39 27678.842893
6 40 13022.792425
6 41 24502.149257
6 42 19270.506870
6 43 38496.350590
6 44 20662.657538
6 45 25464.549481
6 46 26314.319022
6 47 18116.563485
6 48 16671.192026
6 49 16493.238016
6 50 25303.853207
6 51 21329.692778
6 52 22417.163098
6 53 38563.441466
6 54 26927.678091
6 55 30072.985826
6 56 18972.470333
6 57 40238.962010
6 58 40284.965945
6 59 22996.252803
6 60 3570.475968
6 61 44353.357707
6 62 8258.159761
6 63 9691.673690
6 64 18280.293599
6 65 31396.363790
6 66 26142.663271
6 67 18785.847457
6 68 18709.664097
6 69 9441.819031
6 70 33048.364803
6 71 15381.753500
6 72 26141.028657
6 73 27331.924566
6 74 12778.506405
6 75 24030.709439
6 76 22954.723041
6 77 35124.784289
6 78 3160.988654
6 79 20594.790769
6 80 12364.439209
6 81 22446.921055
6 82 20113.893347
6 83 24443.378103
6 84 9780.313638
6 85 20108.236069
6 86 24720.621283
6 87 32464.952422
6 88 42438.794227
6 89 12607.158545
6 90 28755.602713
6 91 28201.917984
6 92 25550.124808
